,Date,Sleep Score,Total Sleep Score,REM Sleep Score,Deep Sleep Score,Sleep Efficiency Score,Restfulness Score,Sleep Latency Score,Sleep Timin Score,Total Sleep Duration,Total Bedtime ,Awake Time,REM Sleep Duration,Light Sleep Duration,Deep Sleep Duration,Restless Sleep,Sleep Efficiency,Sleep Latency,Sleep Timing,Bedtime Start,Bedtime End,Average Resting Heart Rate,Lowest Resting Heart Rate,Average HRV,Temperature Deviation (°C),Temperature Trend Deviation,Respiratory Rate,Activity Score,Stay Active Score,Move Every Hour Score,Meet Daily Targets Score,Training Frequency Score,Training Volume Score,Activity Burn,Total Burn,Steps,Equivalent Walking Distance,Inactive Time,Rest Time,Low Activity Time,Medium Activity Time,High Activity Time,Non-wear Time,Average MET,Long Periods of Inactivity,Readiness Score,Previous Night Score,Sleep Balance Score,Previous Day Activity Score,Activity Balance Score,Temperature Score,Resting Heart Rate Score,HRV Balance Score,Recovery Index Score,Unnamed: 1,Unnamed: 2,Basal Body Temperature (degF),Flights Climbed (count),Heart Rate [Min] (count/min),Heart Rate [Max] (count/min),Heart Rate [Avg] (count/min),Heart Rate Variability (ms),Step Count (count),Walking + Running Distance (mi) 
0,2021-12-28,71.0,74.0,50.0,94.0,69.0,57.0,86.0,65.0,7.366666666666666,33360.0,6840.0,1.0583333333333333,16530.0,6180.0,38,79.0,630.0,15840.0,-0.25,9.02,51.92,48.0,65.0,-0.24,None,12.125,57,100,100,1,40,23,104,2222,2253,1352,11700,29700,8280,60,0,36660,1.1875,0,75.0,71.0,64.0,None,99,95.0,83.0,76.0,72.0,,,,11.0,46,112,70.51,,5922,4.98
1,2021-12-29,61.0,57.0,33.0,76.0,65.0,58.0,94.0,51.0,6.1,28380.0,6420.0,0.7166666666666667,14340.0,5040.0,35,77.0,810.0,13380.0,0.9,8.78,53.44,50.0,59.0,-0.1,0.05,12.25,58,100,100,1,40,28,227,2352,4792,3877,16140,36480,11880,480,0,21420,1.25,0,69.0,56.0,60.0,None,98,100.0,48.0,76.0,100.0,,,,11.0,46,112,70.51,,5922,4.98
2,2021-12-30,70.0,72.0,55.0,90.0,79.0,56.0,78.0,63.0,7.158333333333333,30900.0,5130.0,1.1666666666666667,15660.0,5910.0,37,83.0,420.0,15600.0,-0.13,8.45,54.15,48.0,61.0,-0.08,0.03,12.5,62,71,100,1,71,61,444,2682,9472,7366,35280,31200,11940,3960,0,4020,1.4375,0,74.0,70.0,62.0,100,96,100.0,66.0,76.0,73.0,,,,11.0,46,112,70.51,,5922,4.98
3,2021-12-31,71.0,74.0,42.0,88.0,81.0,59.0,83.0,73.0,7.308333333333334,31140.0,4830.0,0.9,17280.0,5790.0,34,84.0,570.0,16140.0,-0.63,8.02,52.42,47.0,61.0,-0.04,0.03,11.75,67,63,100,1,96,84,386,2622,8564,6558,38820,31740,10080,3300,0,2460,1.40625,0,75.0,71.0,65.0,87,99,100.0,85.0,76.0,52.0,,,,11.0,46,112,70.51,,5922,4.98
4,2022-01-01,77.0,83.0,89.0,88.0,72.0,57.0,91.0,60.0,8.008333333333333,35880.0,7050.0,1.875,16350.0,5730.0,36,80.0,1050.0,18600.0,-0.87,9.1,52.39,47.0,57.0,0.11,0.1,12.0,71,82,100,1,96,95,383,2579,8255,6634,29520,40140,12180,2820,0,1740,1.375,0,80.0,80.0,71.0,84,100,96.0,94.0,75.0,62.0,,,,11.0,46,112,70.51,,5922,4.98
5,2022-01-02,69.0,86.0,56.0,10.0,86.0,66.0,94.0,47.0,8.191666666666666,34380.0,4890.0,1.1916666666666667,24510.0,690.0,25,86.0,780.0,17250.0,-0.05,9.5,52.82,48.0,59.0,0.03,0.12,13.25,73,100,100,1,96,86,141,2284,2767,1892,17820,35520,9840,240,0,22980,1.21875,0,71.0,68.0,77.0,None,99,100.0,59.0,74.0,42.0,,,,11.0,46,112,70.51,,5922,4.98
6,2022-01-03,66.0,76.0,55.0,90.0,53.0,52.0,48.0,67.0,7.5,37440.0,10440.0,1.1583333333333334,16920.0,5910.0,42,72.0,2010.0,18780.0,-1.13,9.27,53.6,48.0,63.0,-0.1,0.05,12.125,74,100,100,1,96,95,306,2374,4905,5353,4020,37140,4140,2400,420,38280,1.28125,0,78.0,63.0,79.0,100,97,100.0,86.0,76.0,43.0,,,,11.0,46,112,70.51,,5922,4.98
7,2022-01-04,74.0,87.0,64.0,63.0,81.0,49.0,89.0,68.0,8.316666666666666,35520.0,5580.0,1.3583333333333334,20880.0,4170.0,44,84.0,660.0,17610.0,-0.85,9.02,53.0,47.0,58.0,0.1,0.09,11.875,72,100,100,1,96,81,35,2100,776,546,12120,30300,2100,120,0,41760,1.125,0,83.0,76.0,85.0,None,99,95.0,86.0,75.0,84.0,,,,11.0,46,112,70.51,,5922,4.98
8,2022-01-05,61.0,65.0,48.0,56.0,72.0,56.0,72.0,45.0,6.65,29820.0,5880.0,1.0166666666666666,16560.0,3720.0,40,80.0,300.0,14730.0,0.72,9.0,53.02,48.0,60.0,0.22,0.2,11.75,69,100,100,1,96,64,150,2278,2944,2467,16920,32520,7740,300,60,28860,1.21875,0,77.0,55.0,81.0,None,97,84.0,78.0,75.0,80.0,,,,11.0,46,112,70.51,,5922,4.98
9,2022-01-06,70.0,84.0,42.0,66.0,81.0,55.0,81.0,49.0,8.025,34560.0,5670.0,0.8916666666666667,21330.0,4350.0,38,84.0,510.0,18000.0,-0.35,9.25,53.46,50.0,59.0,0.04,0.21,12.0,65,100,100,1,71,51,176,2282,3652,3217,13200,30660,6900,600,0,35040,1.21875,0,82.0,69.0,85.0,96,96,100.0,69.0,75.0,100.0,,,,11.0,46,112,70.51,,5922,4.98
10,2022-01-07,66.0,74.0,59.0,68.0,74.0,52.0,81.0,41.0,7.333333333333333,32460.0,6060.0,1.2416666666666667,17460.0,4470.0,43,81.0,1290.0,16020.0,0.5,9.52,51.67,46.0,60.0,-0.1,0.12,12.0,61,100,100,1,40,44,190,2302,4218,3292,11400,34200,8700,780,0,31320,1.25,0,80.0,63.0,84.0,96,95,100.0,100.0,75.0,41.0,,,,11.0,46,112,70.51,,5922,4.98
11,2022-01-08,68.0,67.0,70.0,98.0,81.0,55.0,70.0,44.0,6.791666666666667,29100.0,4650.0,1.4833333333333334,11310.0,7800.0,38,84.0,240.0,14160.0,0.92,9.0,52.02,46.0,63.0,0.08,0.12,12.125,59,100,100,1,40,35,275,2423,5817,4939,11580,32520,14640,300,0,27360,1.3125,0,81.0,66.0,81.0,98,94,97.0,86.0,77.0,68.0,,,,11.0,46,112,70.51,,5922,4.98
12,2022-01-09,70.0,71.0,53.0,96.0,90.0,52.0,72.0,58.0,7.133333333333334,29220.0,3540.0,1.1333333333333333,14700.0,6900.0,43,88.0,300.0,14160.0,0.42,8.53,51.12,46.0,64.0,-0.17,0.06,11.75,65,100,100,1,71,56,319,2418,2901,5319,6360,32220,7140,2220,60,38400,1.3125,0,85.0,69.0,80.0,100,95,99.0,86.0,79.0,100.0,,,,11.0,46,112,70.51,,5922,4.98
13,2022-01-10,66.0,58.0,58.0,94.0,55.0,56.0,70.0,90.0,6.175,30660.0,8430.0,1.225,11670.0,6150.0,41,73.0,240.0,13650.0,-0.48,8.03,49.8,45.0,72.0,-0.25,-0.03,12.0,61,100,100,1,40,47,3,2046,71,33,2940,26700,60,0,0,56700,1.125,0,84.0,63.0,74.0,None,96,96.0,100.0,84.0,100.0,,,,11.0,46,112,70.51,,5922,4.98
14,2022-01-11,62.0,64.0,57.0,68.0,65.0,60.0,67.0,51.0,6.583333333333333,30900.0,7200.0,1.2083333333333333,14850.0,4500.0,36,77.0,210.0,15480.0,0.3,8.88,50.98,46.0,59.0,-0.42,-0.19,12.375,60,100,100,1,40,41,63,2148,1381,753,8580,30900,4980,60,0,41880,1.15625,0,78.0,57.0,70.0,None,96,91.0,95.0,82.0,84.0,,,,11.0,46,112,70.51,,5922,4.98
15,2022-01-12,63.0,64.0,48.0,64.0,69.0,46.0,94.0,65.0,6.633333333333334,30180.0,6300.0,1.0083333333333333,15990.0,4260.0,51,79.0,990.0,14940.0,-0.02,8.37,53.49,49.0,56.0,-0.48,-0.32,12.125,59,100,100,1,40,33,18,2063,369,301,2100,28680,1200,0,0,54420,1.125,0,69.0,58.0,67.0,100,91,89.0,69.0,80.0,16.0,,,,11.0,46,112,70.51,,5922,4.98
16,2022-01-13,71.0,74.0,72.0,79.0,72.0,56.0,94.0,53.0,7.316666666666666,33120.0,6780.0,1.5083333333333333,15690.0,5220.0,42,80.0,1020.0,15510.0,0.23,9.43,52.65,49.0,56.0,0.0,-0.19,12.0,58,100,100,1,40,26,26,2071,580,374,4500,32160,1800,60,0,47880,1.125,0,77.0,71.0,68.0,None,94,100.0,70.0,78.0,100.0,,,,11.0,46,112,70.51,,5922,4.98
17,2022-01-14,68.0,71.0,67.0,74.0,65.0,53.0,89.0,54.0,7.15,33480.0,7740.0,1.4083333333333334,15780.0,4890.0,45,77.0,1140.0,16050.0,0.05,9.35,52.78,48.0,59.0,-0.29,-0.14,12.25,56,100,100,1,40,14,12,2054,314,180,1560,31080,840,0,0,52920,1.125,0,76.0,66.0,68.0,None,95,95.0,71.0,77.0,100.0,,,,11.0,46,112,70.51,,5922,4.98
18,2022-01-15,66.0,81.0,68.0,60.0,72.0,52.0,67.0,31.0,7.816666666666666,35160.0,7020.0,1.425,19020.0,3990.0,43,80.0,180.0,16800.0,0.62,10.38,52.86,45.0,61.0,-0.33,-0.18,12.75,67,100,100,1,71,69,460,2523,590,7723,3720,35160,1860,4140,0,41520,1.34375,0,80.0,63.0,72.0,None,94,94.0,89.0,77.0,100.0,,,,11.0,46,112,70.51,,5922,4.98
19,2022-01-16,70.0,75.0,66.0,97.0,65.0,54.0,72.0,53.0,7.391666666666667,34440.0,7830.0,1.3916666666666666,14100.0,7500.0,40,77.0,330.0,15630.0,0.2,9.77,50.13,45.0,67.0,-0.18,-0.18,11.875,64,100,100,1,40,64,83,2168,1838,1240,12840,34560,4920,180,0,33900,1.15625,0,84.0,69.0,74.0,None,97,99.0,98.0,81.0,100.0,,,,11.0,46,112,70.51,,5922,4.98
20,2022-01-17,63.0,61.0,49.0,82.0,51.0,50.0,97.0,61.0,6.358333333333333,32460.0,9570.0,1.05,13740.0,5370.0,42,71.0,960.0,15330.0,0.0,9.02,50.11,46.0,63.0,-0.24,-0.1,11.875,63,100,100,1,40,58,55,2126,1091,746,5700,29460,3360,120,0,47760,1.15625,0,81.0,58.0,70.0,100,92,97.0,100.0,82.0,86.0,,,,11.0,46,112,70.51,,5922,4.98
21,2022-01-18,61.0,62.0,38.0,69.0,81.0,51.0,78.0,49.0,6.45,27780.0,4560.0,0.8166666666666667,15720.0,4560.0,47,84.0,420.0,13170.0,1.0,8.72,50.84,46.0,64.0,-0.25,-0.05,12.0,61,100,100,1,40,49,9,2079,210,127,960,17700,780,0,0,66960,1.15625,0,79.0,55.0,67.0,None,92,96.0,96.0,83.0,100.0,,,,11.0,46,112,70.51,,5922,4.98
22,2022-01-20,69.0,77.0,95.0,92.0,72.0,45.0,46.0,51.0,7.575,33900.0,6630.0,1.9916666666666667,14040.0,6060.0,38,80.0,2070.0,16860.0,-0.08,9.33,51.8,47.0,55.0,-0.3,-0.08,12.375,58,100,100,1,40,28,72,2191,1483,750,16860,32100,4920,120,0,32400,1.1875,0,80.0,68.0,69.0,None,96,95.0,88.0,79.0,100.0,,,,11.0,46,112,70.51,,5922,4.98
23,2022-01-21,54.0,59.0,33.0,74.0,55.0,51.0,48.0,47.0,6.258333333333334,30840.0,8310.0,0.7083333333333334,15090.0,4890.0,45,73.0,2010.0,15480.0,0.45,9.02,50.81,47.0,60.0,-0.25,-0.07,11.875,57,100,100,1,40,19,38,2095,735,611,4980,28860,2220,180,0,50160,1.125,0,75.0,44.0,65.0,None,95,96.0,88.0,79.0,100.0,,,,11.0,46,112,70.51,,5922,4.98
24,2022-01-22,64.0,64.0,60.0,73.0,55.0,58.0,99.0,40.0,6.575,32400.0,8730.0,1.2833333333333334,14250.0,4800.0,35,73.0,900.0,15060.0,0.78,9.78,52.07,47.0,61.0,-0.22,-0.04,12.25,51,100,100,1,1,8,25,2073,492,373,4980,31500,1500,120,0,48300,1.125,0,76.0,60.0,62.0,None,95,97.0,88.0,79.0,97.0,,,,11.0,46,112,70.51,,5922,4.98
25,2022-01-23,66.0,68.0,55.0,98.0,65.0,56.0,83.0,38.0,6.925,32280.0,7350.0,1.1583333333333334,12960.0,7800.0,43,77.0,540.0,16170.0,0.53,9.5,51.24,47.0,63.0,-0.36,-0.07,12.125,52,100,100,1,1,11,91,2170,1851,1278,8220,35820,5880,300,0,36180,1.15625,0,77.0,63.0,63.0,None,94,93.0,88.0,80.0,92.0,,,,11.0,46,112,70.51,,5922,4.98
26,2022-01-24,78.0,72.0,89.0,98.0,74.0,57.0,97.0,82.0,7.2,31980.0,6060.0,1.8666666666666667,11370.0,7830.0,37,81.0,930.0,15960.0,-0.85,8.03,51.14,46.0,60.0,-0.25,-0.09,12.125,51,100,100,1,1,9,5,2046,112,52,2640,26940,240,0,0,56580,1.125,0,81.0,82.0,65.0,None,94,96.0,88.0,80.0,100.0,,,,11.0,46,112,70.51,,5922,4.98
27,2022-01-26,70.0,61.0,64.0,97.0,69.0,70.0,83.0,73.0,6.366666666666666,29160.0,6240.0,1.3583333333333334,10950.0,7080.0,26,79.0,540.0,12660.0,0.35,8.45,52.14,46.0,60.0,-0.41,-0.14,11.625,51,100,100,1,1,7,25,2074,509,398,3240,29700,1440,0,0,52020,1.125,0,73.0,69.0,64.0,None,94,91.0,96.0,80.0,34.0,,,,11.0,46,112,70.51,,5922,4.98
