Date,,,Basal Body Temperature (degF),Flights Climbed (count),Heart Rate [Min] (count/min),Heart Rate [Max] (count/min),Heart Rate [Avg] (count/min),Heart Rate Variability (ms),Step Count (count),Walking + Running Distance (mi) 
11/12/21,,,,19.05,46,107,65.73,,5785,5.6
11/13/21,,,,54.44,44,125,71.83,,13483,13.85
11/14/21,,,,4.16,47,117,67.26,,6775,6.23
11/15/21,,,,13.38,46,113,66.04,,5701,5.42
11/16/21,,,,43.23,45,123,68.42,,11315,11.3
11/17/21,,,,40,47,122,74.74,,10275,4.47
11/18/21,,,,18.81,50,121,81.7,,14029,14.09
11/19/21,,,,14.46,46,110,66.03,,7142,7.09
11/20/21,,,,14,47,105,66.09,,5733,6.15
11/21/21,,,,15.45,47,111,63.3,,5244,5.24
11/22/21,,,,30.61,45,148,66.99,,4696,4.07
11/23/21,,,,22.75,49,110,65.88,,5834,5.17
11/24/21,,,,20.06,46,130,72.39,,7454,7.17
11/25/21,,,,17.35,48,115,68.35,,4133,4.07
11/26/21,,,,24.03,46,118,73.97,,7703,3.1
11/27/21,,,,38.2,47,134,75.8,,13063,12.85
11/28/21,,,,11,46,112,70.51,,5922,4.98
11/29/21,,,,11,46,112,70.51,,5922,4.98
11/30/21,,,,11,46,112,70.51,,5922,4.98
12/1/21,,,,11,46,112,70.51,,5922,4.98
12/2/21,,,,11,46,112,70.51,,5922,4.98
12/3/21,,,,11,46,112,70.51,,5922,4.98
12/4/21,,,,11,46,112,70.51,,5922,4.98
12/5/21,,,,11,46,112,70.51,,5922,4.98
12/6/21,,,,11,46,112,70.51,,5922,4.98
12/7/21,,,,11,46,112,70.51,,5922,4.98
12/8/21,,,,11,46,112,70.51,,5922,4.98
12/9/21,,,,11,46,112,70.51,,5922,4.98
12/10/21,,,,11,46,112,70.51,,5922,4.98
12/11/21,,,,11,46,112,70.51,,5922,4.98
12/12/21,,,,11,46,112,70.51,,5922,4.98
12/13/21,,,,11,46,112,70.51,,5922,4.98
12/14/21,,,,11,46,112,70.51,,5922,4.98
12/15/21,,,,11,46,112,70.51,,5922,4.98
12/16/21,,,,11,46,112,70.51,,5922,4.98
12/17/21,,,,11,46,112,70.51,,5922,4.98
12/18/21,,,,11,46,112,70.51,,5922,4.98
12/19/21,,,,11,46,112,70.51,,5922,4.98
12/20/21,,,,11,46,112,70.51,,5922,4.98
12/21/21,,,,11,46,112,70.51,,5922,4.98
