Date,Sleep Score,Total Sleep Score,REM Sleep Score,Deep Sleep Score,Sleep Efficiency Score,Restfulness Score,Sleep Latency Score,Sleep Timin Score,Total Sleep Duration,Total Bedtime ,Awake Time,REM Sleep Duration,Light Sleep Duration,Deep Sleep Duration,Restless Sleep,Sleep Efficiency,Sleep Latency,Sleep Timing,Bedtime Start,Bedtime End,Average Resting Heart Rate,Lowest Resting Heart Rate,Average HRV,Temperature Deviation (°C),Temperature Trend Deviation,Respiratory Rate,Activity Score,Stay Active Score,Move Every Hour Score,Meet Daily Targets Score,Training Frequency Score,Training Volume Score,Activity Burn,Total Burn,Steps,Equivalent Walking Distance,Inactive Time,Rest Time,Low Activity Time,Medium Activity Time,High Activity Time,Non-wear Time,Average MET,Long Periods of Inactivity,Readiness Score,Previous Night Score,Sleep Balance Score,Previous Day Activity Score,Activity Balance Score,Temperature Score,Resting Heart Rate Score,HRV Balance Score,Recovery Index Score
12/28/21,71,74,50,94,69,57,86,65,26520,33360,6840,3810,16530,6180,38,79,630,15840,2021-12-27T23:45:10-05:00,2021-12-28T09:01:10-05:00,51.92,48,65,-0.24,None,12.125,57,100,100,1,40,23,104,2222,2253,1352,11700,29700,8280,60,0,36660,1.1875,0,75,71,64,None,99,95,83,76,72
12/29/21,61,57,33,76,65,58,94,51,21960,28380,6420,2580,14340,5040,35,77,810,13380,2021-12-29T00:54:09-05:00,2021-12-29T08:47:09-05:00,53.44,50,59,-0.1,0.05,12.25,58,100,100,1,40,28,227,2352,4792,3877,16140,36480,11880,480,0,21420,1.25,0,69,56,60,None,98,100,48,76,100
12/30/21,70,72,55,90,79,56,78,63,25770,30900,5130,4200,15660,5910,37,83,420,15600,2021-12-29T23:52:01-05:00,2021-12-30T08:27:01-05:00,54.15,48,61,-0.08,0.03,12.5,62,71,100,1,71,61,444,2682,9472,7366,35280,31200,11940,3960,0,4020,1.4375,0,74,70,62,100,96,100,66,76,73
12/31/21,71,74,42,88,81,59,83,73,26310,31140,4830,3240,17280,5790,34,84,570,16140,2021-12-30T23:22:52-05:00,2021-12-31T08:01:52-05:00,52.42,47,61,-0.04,0.03,11.75,67,63,100,1,96,84,386,2622,8564,6558,38820,31740,10080,3300,0,2460,1.40625,0,75,71,65,87,99,100,85,76,52
1/1/22,77,83,89,88,72,57,91,60,28830,35880,7050,6750,16350,5730,36,80,1050,18600,2021-12-31T23:08:29-05:00,2022-01-01T09:06:29-05:00,52.39,47,57,0.11,0.1,12,71,82,100,1,96,95,383,2579,8255,6634,29520,40140,12180,2820,0,1740,1.375,0,80,80,71,84,100,96,94,75,62
1/2/22,69,86,56,10,86,66,94,47,29490,34380,4890,4290,24510,690,25,86,780,17250,2022-01-01T23:57:41-05:00,2022-01-02T09:30:41-05:00,52.82,48,59,0.03,0.12,13.25,73,100,100,1,96,86,141,2284,2767,1892,17820,35520,9840,240,0,22980,1.21875,0,71,68,77,None,99,100,59,74,42
1/3/22,66,76,55,90,53,52,48,67,27000,37440,10440,4170,16920,5910,42,72,2010,18780,2022-01-02T22:52:14-05:00,2022-01-03T09:16:14-05:00,53.6,48,63,-0.1,0.05,12.125,74,100,100,1,96,95,306,2374,4905,5353,4020,37140,4140,2400,420,38280,1.28125,0,78,63,79,100,97,100,86,76,43
1/4/22,74,87,64,63,81,49,89,68,29940,35520,5580,4890,20880,4170,44,84,660,17610,2022-01-03T23:09:55-05:00,2022-01-04T09:01:55-05:00,53,47,58,0.1,0.09,11.875,72,100,100,1,96,81,35,2100,776,546,12120,30300,2100,120,0,41760,1.125,0,83,76,85,None,99,95,86,75,84
1/5/22,61,65,48,56,72,56,72,45,23940,29820,5880,3660,16560,3720,40,80,300,14730,2022-01-05T00:43:36-05:00,2022-01-05T09:00:36-05:00,53.02,48,60,0.22,0.2,11.75,69,100,100,1,96,64,150,2278,2944,2467,16920,32520,7740,300,60,28860,1.21875,0,77,55,81,None,97,84,78,75,80
1/6/22,70,84,42,66,81,55,81,49,28890,34560,5670,3210,21330,4350,38,84,510,18000,2022-01-05T23:39:47-05:00,2022-01-06T09:15:47-05:00,53.46,50,59,0.04,0.21,12,65,100,100,1,71,51,176,2282,3652,3217,13200,30660,6900,600,0,35040,1.21875,0,82,69,85,96,96,100,69,75,100
1/7/22,66,74,59,68,74,52,81,41,26400,32460,6060,4470,17460,4470,43,81,1290,16020,2022-01-07T00:30:25-05:00,2022-01-07T09:31:25-05:00,51.67,46,60,-0.1,0.12,12,61,100,100,1,40,44,190,2302,4218,3292,11400,34200,8700,780,0,31320,1.25,0,80,63,84,96,95,100,100,75,41
1/8/22,68,67,70,98,81,55,70,44,24450,29100,4650,5340,11310,7800,38,84,240,14160,2022-01-08T00:55:01-05:00,2022-01-08T09:00:01-05:00,52.02,46,63,0.08,0.12,12.125,59,100,100,1,40,35,275,2423,5817,4939,11580,32520,14640,300,0,27360,1.3125,0,81,66,81,98,94,97,86,77,68
1/9/22,70,71,53,96,90,52,72,58,25680,29220,3540,4080,14700,6900,43,88,300,14160,2022-01-09T00:25:38-05:00,2022-01-09T08:32:38-05:00,51.12,46,64,-0.17,0.06,11.75,65,100,100,1,71,56,319,2418,2901,5319,6360,32220,7140,2220,60,38400,1.3125,0,85,69,80,100,95,99,86,79,100
1/10/22,66,58,58,94,55,56,70,90,22230,30660,8430,4410,11670,6150,41,73,240,13650,2022-01-09T23:31:00-05:00,2022-01-10T08:02:00-05:00,49.8,45,72,-0.25,-0.03,12,61,100,100,1,40,47,3,2046,71,33,2940,26700,60,0,0,56700,1.125,0,84,63,74,None,96,96,100,84,100
1/11/22,62,64,57,68,65,60,67,51,23700,30900,7200,4350,14850,4500,36,77,210,15480,2022-01-11T00:18:34-05:00,2022-01-11T08:53:34-05:00,50.98,46,59,-0.42,-0.19,12.375,60,100,100,1,40,41,63,2148,1381,753,8580,30900,4980,60,0,41880,1.15625,0,78,57,70,None,96,91,95,82,84
1/12/22,63,64,48,64,69,46,94,65,23880,30180,6300,3630,15990,4260,51,79,990,14940,2022-01-11T23:59:02-05:00,2022-01-12T08:22:02-05:00,53.49,49,56,-0.48,-0.32,12.125,59,100,100,1,40,33,18,2063,369,301,2100,28680,1200,0,0,54420,1.125,0,69,58,67,100,91,89,69,80,16
1/13/22,71,74,72,79,72,56,94,53,26340,33120,6780,5430,15690,5220,42,80,1020,15510,2022-01-13T00:14:58-05:00,2022-01-13T09:26:58-05:00,52.65,49,56,0,-0.19,12,58,100,100,1,40,26,26,2071,580,374,4500,32160,1800,60,0,47880,1.125,0,77,71,68,None,94,100,70,78,100
1/14/22,68,71,67,74,65,53,89,54,25740,33480,7740,5070,15780,4890,45,77,1140,16050,2022-01-14T00:03:20-05:00,2022-01-14T09:21:20-05:00,52.78,48,59,-0.29,-0.14,12.25,56,100,100,1,40,14,12,2054,314,180,1560,31080,840,0,0,52920,1.125,0,76,66,68,None,95,95,71,77,100
1/15/22,66,81,68,60,72,52,67,31,28140,35160,7020,5130,19020,3990,43,80,180,16800,2022-01-15T00:37:01-05:00,2022-01-15T10:23:01-05:00,52.86,45,61,-0.33,-0.18,12.75,67,100,100,1,71,69,460,2523,590,7723,3720,35160,1860,4140,0,41520,1.34375,0,80,63,72,None,94,94,89,77,100
1/16/22,70,75,66,97,65,54,72,53,26610,34440,7830,5010,14100,7500,40,77,330,15630,2022-01-16T00:12:09-05:00,2022-01-16T09:46:09-05:00,50.13,45,67,-0.18,-0.18,11.875,64,100,100,1,40,64,83,2168,1838,1240,12840,34560,4920,180,0,33900,1.15625,0,84,69,74,None,97,99,98,81,100
1/17/22,63,61,49,82,51,50,97,61,22890,32460,9570,3780,13740,5370,42,71,960,15330,2022-01-17T00:00:13-05:00,2022-01-17T09:01:13-05:00,50.11,46,63,-0.24,-0.1,11.875,63,100,100,1,40,58,55,2126,1091,746,5700,29460,3360,120,0,47760,1.15625,0,81,58,70,100,92,97,100,82,86
1/18/22,61,62,38,69,81,51,78,49,23220,27780,4560,2940,15720,4560,47,84,420,13170,2022-01-18T01:00:02-05:00,2022-01-18T08:43:02-05:00,50.84,46,64,-0.25,-0.05,12,61,100,100,1,40,49,9,2079,210,127,960,17700,780,0,0,66960,1.15625,0,79,55,67,None,92,96,96,83,100
1/20/22,69,77,95,92,72,45,46,51,27270,33900,6630,7170,14040,6060,38,80,2070,16860,2022-01-19T23:55:03-05:00,2022-01-20T09:20:03-05:00,51.8,47,55,-0.3,-0.08,12.375,58,100,100,1,40,28,72,2191,1483,750,16860,32100,4920,120,0,32400,1.1875,0,80,68,69,None,96,95,88,79,100
1/21/22,54,59,33,74,55,51,48,47,22530,30840,8310,2550,15090,4890,45,73,2010,15480,2022-01-21T00:27:28-05:00,2022-01-21T09:01:28-05:00,50.81,47,60,-0.25,-0.07,11.875,57,100,100,1,40,19,38,2095,735,611,4980,28860,2220,180,0,50160,1.125,0,75,44,65,None,95,96,88,79,100
1/22/22,64,64,60,73,55,58,99,40,23670,32400,8730,4620,14250,4800,35,73,900,15060,2022-01-22T00:47:05-05:00,2022-01-22T09:47:05-05:00,52.07,47,61,-0.22,-0.04,12.25,51,100,100,1,1,8,25,2073,492,373,4980,31500,1500,120,0,48300,1.125,0,76,60,62,None,95,97,88,79,97
1/23/22,66,68,55,98,65,56,83,38,24930,32280,7350,4170,12960,7800,43,77,540,16170,2022-01-23T00:32:01-05:00,2022-01-23T09:30:01-05:00,51.24,47,63,-0.36,-0.07,12.125,52,100,100,1,1,11,91,2170,1851,1278,8220,35820,5880,300,0,36180,1.15625,0,77,63,63,None,94,93,88,80,92
1/24/22,78,72,89,98,74,57,97,82,25920,31980,6060,6720,11370,7830,37,81,930,15960,2022-01-23T23:09:03-05:00,2022-01-24T08:02:03-05:00,51.14,46,60,-0.25,-0.09,12.125,51,100,100,1,1,9,5,2046,112,52,2640,26940,240,0,0,56580,1.125,0,81,82,65,None,94,96,88,80,100
